Sıra No;İrsaliye No;Nakliye Tarihi;Çıkış Yeri;Sevk Yeri;Birim Fiyat;Birim Fiyat %40;Motorin Baz Fiyatı;Günlük Motorin Fiyatı;Motorin Fiyat Farkı;Motorin Fiyat Farkı %;Zam / İndirim;KDV Hariç Toplam;KDV Tutarı;KDV Tevkifat;Toplam Fiyat;;;
66;SEI2026000000640;24.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺54,766;₺60,300;₺5,53;10,10%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
67;SEI2026000000637;24.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺54,766;₺60,300;₺5,53;10,10%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
68;SEI2026000000644;25.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.664,98;₺2.265,99;₺60,300;₺60,307;₺0,01;0,01%;₺0,00;₺5.664,98;₺1.133,00;₺226,60;₺6.571,38;;;
69;SEI2026000000651;25.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,307;₺0,01;0,01%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
70;SEI2026000000646;25.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,307;₺0,01;0,01%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
71;SEI2026000000645;25.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,307;₺0,01;0,01%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
72;SEI2026000000658;26.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,322;₺0,02;0,04%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
73;SEI2026000000654;26.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,322;₺0,02;0,04%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
74;SEI2026000000670;27.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,338;₺0,04;0,06%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
75;SEI2026000000675;27.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,338;₺0,04;0,06%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
76;SEI2026000000669;27.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,338;₺0,04;0,06%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
77;SEI2026000000680;28.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.664,98;₺2.265,99;₺60,300;₺60,351;₺0,05;0,08%;₺0,00;₺5.664,98;₺1.133,00;₺226,60;₺6.571,38;;;
78;SEI2026000000685;28.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,351;₺0,05;0,08%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
79;SEI2026000000684;28.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺60,300;₺60,351;₺0,05;0,08%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;₺598.104,57;₺119.620,91;₺23.924,18;₺693.801,30;;;
;;;;;;;;;;;BÜYÜKYAĞCI;₺526.879,61;;;₺611.180,35;;;
;;;;;;;;;;;GÜZELCEKALE;₺71.224,96;;;₺82.620,95;;;
